sku;ITEM;PX VENTA;costo;stock minimo;CATEGORIA
1-001;ACRIL10 LATEX INTERIOR EXTERIOR X 10;1331,968;688;;Duracril
1-002;ACRIL10 LATEX INTERIOR EXTERIOR X 20;1990;1292;;Duracril
1-003;ACRIL10 LATEX INTERIOR EXTERIOR X 4;801,504;414;;Duracril
11-004;AGUARRAS X 1 ;290,4;150;;Diluyentes
6-005;AMOLADORA ANGULAR BATERIA METABO W 18 LTX 125Q;48003,2923;22540,99;;Metabo
6-006;AMOLADORA ANGULAR METABO W 2200 -180;32729,11963;15368,67;;Metabo
6-007;AMOLADORA ANGULAR METABO W110-125;19637,91474;9221,41;;Metabo
6-008;AMOLADORA ANGULAR METABO W11-125 QUICK;30546,15186;14343,61;;Metabo
6-009;AMOLADORA ANGULAR METABO W24-180 MVT;48003,2923;22540,99;;Metabo
6-0010;AMOLADORA ANGULAR METABO W24-230 MVT;48003,2923;22540,99;;Metabo
6-0011;AMOLADORA ANGULAR METABO W850-125 ;16561,00477;7776,58;;Metabo
6-0012;AMOLADORA ANGULAR METABO WEBPA 17-125;56730,77643;26639,17;;Metabo
6-0013;AMOLADORA ANGULAR METABO WEQ 1400-125;26182,40979;12294,52;;Metabo
2-0014;ANTIOXIDO BLANCO TEKNO X 1;941,2832;457,6;;Tekno
2-0015;ANTIOXIDO BLANCO TEKNO X 1/2;538,5226;261,8;;Tekno
2-0016;ANTIOXIDO BLANCO TEKNO X 1/4;287,3629;139,7;;Tekno
2-0017;ANTIOXIDO BLANCO TEKNO X 4;3357,024;1632;;Tekno
2-0018;ANTIOXIDO GRIS TEKNO X 1;941,2832;457,6;;Tekno
2-0019;ANTIOXIDO GRIS TEKNO X 1/2;513,6329;249,7;;Tekno
2-0020;ANTIOXIDO GRIS TEKNO X 1/4;287,3629;139,7;;Tekno
2-0021;ANTIOXIDO GRIS TEKNO X 20;13251,194;6442;;Tekno
2-0022;ANTIOXIDO GRIS TEKNO X 4;2943,567;1431;;Tekno
2-0023;ANTIOXIDO NEGRO TEKNO X 1;822,88228;400,04;;Tekno
